time	V(out)
Step Information: Vin=1  (Run: 1/2)
0.000000000000000e+000	6.321194e-001
1.391601562499970e-004	6.799095e-001
2.758789062499941e-004	7.208121e-001
4.125976562499912e-004	7.564881e-001
5.493164062499883e-004	7.876052e-001
6.860351562499854e-004	8.147460e-001
8.227539062499825e-004	8.384187e-001
9.594726562499796e-004	8.590662e-001
1.096191406249977e-003	8.770754e-001
1.237792968749974e-003	8.933055e-001
1.379394531249971e-003	9.073928e-001
1.520996093749968e-003	9.196200e-001
1.662597656249965e-003	9.302328e-001
1.804199218749962e-003	9.394444e-001
1.945800781249959e-003	9.474398e-001
2.087402343749956e-003	9.543794e-001
2.229003906249953e-003	9.604029e-001
2.370605468749950e-003	9.656310e-001
2.512207031249946e-003	9.701689e-001
2.653808593749943e-003	9.741076e-001
2.795410156249940e-003	9.775262e-001
2.937011718749938e-003	9.804935e-001
3.078613281249935e-003	9.830691e-001
3.220214843749932e-003	9.853045e-001
3.361816406249929e-003	9.872448e-001
3.503417968749926e-003	9.889289e-001
3.645019531249923e-003	9.903907e-001
3.786621093749920e-003	9.916594e-001
3.928222656249917e-003	9.927607e-001
3.996582031249915e-003	9.932390e-001
4.000000000000000e-003	9.932621e-001
Step Information: Vin=10  (Run: 2/2)
0.000000000000000e+000	6.321195e+000
1.391601562499970e-004	6.799094e+000
2.758789062499941e-004	7.208121e+000
4.125976562499912e-004	7.564881e+000
5.493164062499883e-004	7.876052e+000
6.860351562499854e-004	8.147460e+000
8.227539062499825e-004	8.384186e+000
9.594726562499796e-004	8.590662e+000
1.096191406249977e-003	8.770754e+000
1.232910156249974e-003	8.927833e+000
1.369628906249971e-003	9.064840e+000
1.506347656249968e-003	9.184340e+000
1.643066406249965e-003	9.288568e+000
1.779785156249962e-003	9.379478e+000
1.916503906249959e-003	9.458771e+000
2.053222656249956e-003	9.527932e+000
2.189941406249953e-003	9.588255e+000
2.326660156249950e-003	9.640870e+000
2.463378906249948e-003	9.686761e+000
2.600097656249945e-003	9.726789e+000
2.736816406249942e-003	9.761701e+000
2.873535156249939e-003	9.792152e+000
3.010253906249936e-003	9.818711e+000
3.146972656249933e-003	9.841877e+000
3.283691406249930e-003	9.862083e+000
3.420410156249928e-003	9.879707e+000
3.562011718749925e-003	9.895590e+000
3.703613281249922e-003	9.909374e+000
3.845214843749919e-003	9.921341e+000
3.986816406249915e-003	9.931726e+000
3.996582031249915e-003	9.932390e+000
4.000000000000000e-003	9.932621e+000
